id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores[0],home_line_scores[1],home_line_scores[2],home_line_scores[3],home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores[0],away_line_scores[1],away_line_scores[2],away_line_scores[3],away_post_win_prob,excitement_index
401013357,2018,1,regular,2018-08-25T21:30:00.000Z,,FALSE,FALSE,8684,3985,Warren McGuirk Alumni Stadium,113,UMass,FBS Independents,63,21,14,21,7,0.998454242,2184,Duquesne,,15,3,6,0,6,0.001545758,0.21391013
401014972,2018,1,regular,2018-08-25T23:00:00.000Z,,FALSE,FALSE,20050,3895,Rice Stadium,242,Rice,Conference USA,31,13,6,0,12,0.41611198,2504,Prairie View,,28,0,21,7,0,0.58388802,5.601277374
401022510,2018,1,regular,2018-08-25T23:30:00.000Z,,FALSE,TRUE,31007,5388,Canvas Stadium,36,Colorado State,Mountain West,34,7,0,13,14,0.331739768,62,Hawai'i,Mountain West,43,10,13,14,6,0.668260232,4.564936193
401013437,2018,1,regular,2018-08-26T02:00:00.000Z,,FALSE,FALSE,20322,3601,Aggie Memorial Stadium,166,New Mexico State,FBS Independents,7,0,0,0,7,0.00427211,2751,Wyoming,Mountain West,29,9,6,7,7,0.99572789,2.70571184
401020671,2018,1,regular,2018-08-30T23:00:00.000Z,,FALSE,FALSE,0,3919,Scheumann Stadium,2050,Ball State,Mid-American,42,7,14,14,7,0.999972094,2115,Central Connecticut,,6,0,0,0,6,2.79062E-05,0.760100618
401013328,2018,1,regular,2018-08-30T23:00:00.000Z,,FALSE,FALSE,0,3953,TCF Bank Stadium,135,Minnesota,Big Ten,48,7,28,3,10,0.999963836,166,New Mexico State,FBS Independents,10,7,3,0,0,3.61635E-05,3.061444403
401021651,2018,1,regular,2018-08-30T23:00:00.000Z,,FALSE,FALSE,0,4246,Georgia State Stadium,2247,Georgia State,Sun Belt,24,0,14,0,10,0.869590188,338,Kennesaw State,,20,7,7,6,0,0.130409812,5.851264149
401019470,2018,1,regular,2018-08-30T23:00:00.000Z,,FALSE,TRUE,0,3892,Rentschler Field,41,Connecticut,American Athletic,17,0,10,0,7,0.004203463,2116,UCF,American Athletic,56,14,14,14,14,0.995796537,0.830061928
401013342,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,TRUE,0,3907,Ross-Ade Stadium,2509,Purdue,Big Ten,27,14,3,7,3,0.1520658,77,Northwestern,Big Ten,31,14,17,0,0,0.8479342,6.674171596
401014979,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,FALSE,0,3803,Legion Field,5,UAB,Conference USA,52,7,21,10,14,0.999997346,2542,Savannah State,,0,0,0,0,0,2.65431E-06,0.140615178
401012675,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,FALSE,0,587,Rice-Eccles Stadium,254,Utah,Pac-12,41,7,10,14,10,0.999799869,2692,Weber State,,10,10,0,0,0,0.000200131,0.922426719
401013489,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,FALSE,0,3646,Boone Pickens Stadium,197,Oklahoma State,Big 12,58,17,14,14,13,0.999269856,2623,Missouri State,,17,0,7,10,0,0.000730144,0.066375388
401021655,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,FALSE,0,3817,Malone Stadium,2433,Louisiana Monroe,Sun Belt,34,7,9,10,8,0.572085931,2545,Southeastern Louisiana,,31,14,7,0,10,0.427914069,8.416012921
401013086,2018,1,regular,2018-08-31T00:00:00.000Z,,FALSE,FALSE,0,4729,Benson Field at Yulman Stadium,2655,Tulane,American Athletic,17,0,0,14,3,0.219661321,154,Wake Forest,ACC,23,0,7,3,7,0.780338679,9.788482398
401012258,2018,1,regular,2018-08-31T00:30:00.000Z,,FALSE,FALSE,0,3795,Kyle Field,245,Texas A&M,SEC,59,7,28,17,7,0.999992802,2466,Northwestern State,,7,0,0,0,7,7.19765E-06,0.032713479
401022511,2018,1,regular,2018-08-31T02:00:00.000Z,,FALSE,FALSE,0,3935,Spartan Stadium,23,San José State,Mountain West,38,14,7,10,7,0.225581843,302,UC Davis,,44,14,21,2,7,0.774418157,5.581187472
401020673,2018,1,regular,2018-08-31T22:00:00.000Z,,FALSE,FALSE,0,3980,Waldo Stadium,2711,Western Michigan,Mid-American,42,7,0,28,7,0.100699756,183,Syracuse,ACC,55,24,10,14,7,0.899300244,2.767969763
401020672,2018,1,regular,2018-08-31T22:30:00.000Z,,FALSE,FALSE,0,3912,Rynearson Stadium,2199,Eastern Michigan,Mid-American,51,13,17,14,7,0.999551016,2405,Monmouth,,17,0,3,7,7,0.000448984,0.565053274
401012880,2018,1,regular,2018-08-31T23:00:00.000Z,,FALSE,FALSE,0,3936,Spartan Stadium,127,Michigan State,Big Ten,38,6,14,7,11,0.906183591,328,Utah State,Mountain West,31,7,7,10,7,0.093816409,4.136697248
