season,seasonType,week,poll,rank,school,conference,firstPlaceVotes,points
2020,regular,1,AP Top 25,1,Clemson,ACC,38,1520
2020,regular,1,AP Top 25,2,Ohio State,Big Ten,21,1504
2020,regular,1,AP Top 25,3,Alabama,SEC,2,1422
2020,regular,1,AP Top 25,4,Georgia,SEC,0,1270
2020,regular,1,AP Top 25,5,Oklahoma,Big 12,0,1269
2020,regular,1,AP Top 25,6,LSU,SEC,1,1186
2020,regular,1,AP Top 25,7,Penn State,Big Ten,0,1147
2020,regular,1,AP Top 25,8,Florida,SEC,0,1125
2020,regular,1,AP Top 25,9,Oregon,Pac-12,0,1119
2020,regular,1,AP Top 25,10,Notre Dame,FBS Independents,0,995
2020,regular,1,AP Top 25,11,Auburn,SEC,0,852
2020,regular,1,AP Top 25,12,Wisconsin,Big Ten,0,840
2020,regular,1,AP Top 25,13,Texas A&M,SEC,0,764
2020,regular,1,AP Top 25,14,Texas,Big 12,0,703
2020,regular,1,AP Top 25,15,Oklahoma State,Big 12,0,672
2020,regular,1,AP Top 25,16,Michigan,Big Ten,0,611
2020,regular,1,AP Top 25,17,USC,Pac-12,0,534
2020,regular,1,AP Top 25,18,North Carolina,ACC,0,496
2020,regular,1,AP Top 25,19,Minnesota,Big Ten,0,451
2020,regular,1,AP Top 25,20,Cincinnati,American Athletic,0,234
2020,regular,1,AP Top 25,21,UCF,American Athletic,0,229
2020,regular,1,AP Top 25,22,Utah,Pac-12,0,211
2020,regular,1,AP Top 25,23,Iowa State,Big 12,0,199
2020,regular,1,AP Top 25,24,Iowa,Big Ten,0,134
2020,regular,1,AP Top 25,25,Tennessee,SEC,0,133
2020,regular,1,Coaches Poll,1,Clemson,ACC,38,1589
2020,regular,1,Coaches Poll,2,Ohio State,Big Ten,17,1555
2020,regular,1,Coaches Poll,3,Alabama,SEC,4,1495
2020,regular,1,Coaches Poll,4,Georgia,SEC,0,1345
2020,regular,1,Coaches Poll,5,LSU,SEC,0,1330
2020,regular,1,Coaches Poll,6,Oklahoma,Big 12,0,1315
2020,regular,1,Coaches Poll,7,Penn State,Big Ten,0,1199
2020,regular,1,Coaches Poll,8,Florida,SEC,0,1176
2020,regular,1,Coaches Poll,9,Oregon,Pac-12,0,1164
2020,regular,1,Coaches Poll,10,Notre Dame,FBS Independents,0,1012
2020,regular,1,Coaches Poll,11,Auburn,SEC,0,898
2020,regular,1,Coaches Poll,12,Wisconsin,Big Ten,0,887
2020,regular,1,Coaches Poll,13,Texas A&M,SEC,0,807
2020,regular,1,Coaches Poll,14,Texas,Big 12,0,703
2020,regular,1,Coaches Poll,15,Michigan,Big Ten,0,687
2020,regular,1,Coaches Poll,16,Oklahoma State,Big 12,0,524
2020,regular,1,Coaches Poll,17,USC,Pac-12,0,521
2020,regular,1,Coaches Poll,18,Minnesota,Big Ten,0,494
2020,regular,1,Coaches Poll,19,North Carolina,ACC,0,415
2020,regular,1,Coaches Poll,20,Utah,Pac-12,0,241
2020,regular,1,Coaches Poll,21,UCF,American Athletic,0,232
2020,regular,1,Coaches Poll,22,Cincinnati,American Athletic,0,229
2020,regular,1,Coaches Poll,23,Iowa,Big Ten,0,204
2020,regular,1,Coaches Poll,24,Virginia Tech,ACC,0,143
2020,regular,1,Coaches Poll,25,Iowa State,Big 12,0,135
2020,regular,3,Coaches Poll,1,Clemson,ACC,37,1020
2020,regular,3,Coaches Poll,2,Alabama,SEC,1,973
2020,regular,3,Coaches Poll,3,Oklahoma,Big 12,0,907
2020,regular,3,Coaches Poll,4,Georgia,SEC,0,904
2020,regular,3,Coaches Poll,5,LSU,SEC,3,852
2020,regular,3,Coaches Poll,6,Florida,SEC,0,837
2020,regular,3,Coaches Poll,7,Notre Dame,FBS Independents,0,760
2020,regular,3,Coaches Poll,8,Texas,Big 12,0,697
2020,regular,3,Coaches Poll,9,Auburn,SEC,0,694
2020,regular,3,Coaches Poll,10,Texas A&M,SEC,0,639
2020,regular,3,Coaches Poll,11,North Carolina,ACC,0,575
2020,regular,3,Coaches Poll,12,Oklahoma State,Big 12,0,547
2020,regular,3,Coaches Poll,13,UCF,American Athletic,0,414
2020,regular,3,Coaches Poll,14,Cincinnati,American Athletic,0,403
2020,regular,3,Coaches Poll,15,Memphis,American Athletic,0,314
2020,regular,3,Coaches Poll,16,Louisville,ACC,0,313
2020,regular,3,Coaches Poll,17,Tennessee,SEC,0,309
2020,regular,3,Coaches Poll,18,Miami,ACC,0,267
