year,rank,team,points
2017,1,Alabama,323.87
2017,2,Ohio State,312.14
2017,3,Georgia,301.60
2017,4,USC,297.10
2017,5,Michigan,296.03
2017,6,Florida State,292.88
2017,7,LSU,287.66
2017,8,Oklahoma,270.79
2017,9,Auburn,255.92
2017,10,Notre Dame,251.32
2017,11,Florida,251.23
2017,12,Miami,248.67
2017,13,Texas A&M,248.58
2017,14,Stanford,246.79
2017,15,Penn State,240.47
2017,16,Clemson,238.91
2017,17,Tennessee,237.21
2017,18,Maryland,230.17
2017,19,Oregon,230.04
2017,20,UCLA,229.13
2017,21,South Carolina,227.58
2017,22,Washington,224.74
2017,23,Nebraska,224.33
2017,24,Mississippi State,220.22
2017,25,Texas,217.76
2017,26,Virginia Tech,217.74
2017,27,Arkansas,212.74
2017,28,TCU,210.03
2017,29,North Carolina,207.81
2017,30,Kentucky,207.73
2017,31,Ole Miss,207.63
2017,32,Arizona State,206.68
2017,33,Utah,205.78
2017,34,Louisville,205.15
2017,35,Colorado,203.78
2017,36,Michigan State,203.65
2017,37,Pittsburgh,202.12
2017,38,Oklahoma State,194.18
2017,39,Wisconsin,193.87
2017,40,Baylor,193.36
2017,41,Iowa,191.44
2017,42,Rutgers,189.01
2017,43,Missouri,187.71
2017,44,Washington State,186.45
2017,45,Arizona,185.88
2017,46,Illinois,185.24
2017,47,Duke,184.46
2017,48,Georgia Tech,184.40
2017,49,Texas Tech,183.07
2017,50,Northwestern,182.07
2017,51,Oregon State,181.32
2017,52,Iowa State,180.53
2017,53,NC State,180.46
2017,54,Syracuse,180.08
2017,55,UCF,178.34
2017,56,Memphis,177.60
2017,57,West Virginia,174.68
2017,58,Virginia,172.50
2017,59,Minnesota,171.42
2017,60,Florida Atlantic,171.18
2017,61,Kansas State,169.37
2017,62,Indiana,167.99
2017,63,Cincinnati,167.80
2017,64,Boise State,167.43
2017,65,Vanderbilt,167.42
2017,66,BYU,167.37
2017,67,Boston College,162.61
2017,68,Wake Forest,161.99
2017,69,Houston,160.34
2017,70,California,159.53
2017,71,Kansas,159.35
2017,72,Purdue,158.89
2017,73,Colorado State,158.09
2017,74,Southern Mississippi,152.71
2017,75,UT San Antonio,151.48
2017,76,South Florida,150.65
2017,77,San Diego State,149.69
2017,78,Toledo,146.60
2017,79,East Carolina,144.55
2017,80,SMU,140.40
2017,81,Bowling Green,138.14
2017,82,Western Kentucky,138.03
2017,83,Florida International,137.75
2017,84,Fresno State,137.74
2017,85,Tulsa,135.07
2017,86,Hawai'i,133.96
2017,87,Marshall,132.84
2017,88,Navy,131.73
2017,89,Western Michigan,129.94
2017,90,Ball State,128.80
2017,91,Middle Tennessee,128.10
2017,92,Texas State,127.89
2017,93,Central Michigan,127.40
2017,94,Miami (OH),126.73
2017,95,Nevada,125.03
2017,96,Troy,123.90
2017,97,Northern Illinois,122.74
2017,98,San José State,122.11
2017,99,Wyoming,122.05
2017,100,Louisiana Tech,121.72
2017,101,Connecticut,121.64
2017,102,Louisiana Monroe,121.55
2017,103,Ohio,120.83
2017,104,Utah State,120.00
2017,105,Georgia State,119.23
2017,106,Georgia Southern,118.78
2017,107,Appalachian State,116.78
2017,108,UAB,115.95
2017,109,Air Force,115.88
2017,110,UMass,115.82
